tick,nadh,alfasinucleina,ros,artificialAgent,electron,oxygen
637,500,806,83,10,601,317
638,500,812,85,10,608,315
639,500,812,86,10,611,314
640,500,819,86,10,617,314
641,500,825,87,10,620,313
642,500,825,89,10,619,311
643,500,828,90,10,619,310
644,500,828,91,10,621,309
645,500,838,92,10,625,308
646,500,838,92,10,630,308
647,500,838,93,10,631,307
648,500,838,93,10,632,307
649,500,838,93,10,636,307
650,500,838,94,10,640,306
651,500,838,94,10,641,306
652,500,838,94,10,646,306
653,500,847,94,10,653,306
654,500,847,94,10,657,306
655,500,847,94,10,660,306
656,500,852,94,10,664,306
657,500,852,96,10,665,304
658,500,852,96,10,669,304
659,500,858,97,10,673,303
660,500,858,97,10,679,303
661,500,858,97,10,684,303
662,500,858,97,10,684,303
663,500,866,97,10,687,303
664,500,866,97,10,691,303
665,500,866,97,10,695,303
666,500,873,97,10,700,303
667,500,873,97,10,705,303
668,500,877,97,10,713,303
669,500,877,97,10,718,303
670,500,886,98,10,723,302
671,500,886,98,10,726,302
672,500,886,99,10,728,301
673,500,886,100,10,731,300
674,500,889,101,10,735,299
675,500,899,101,10,735,299
676,500,899,101,10,738,299
677,500,899,101,10,743,299
678,500,899,102,10,745,298
679,500,899,104,10,748,296
680,500,899,104,10,750,296
681,500,904,105,10,755,295
682,500,904,105,10,757,295
683,500,910,106,10,759,294
684,500,910,106,10,761,294
685,500,910,107,10,764,293
686,500,910,107,10,767,293
687,500,919,107,10,770,293
688,500,919,107,10,776,293
689,500,919,107,10,782,293
690,500,919,107,10,786,293
691,500,919,107,10,790,293
692,500,920,107,10,792,293
693,500,928,107,10,792,293
694,500,928,108,10,797,292
695,500,934,109,10,804,291
696,500,934,109,10,811,291
697,500,940,109,10,817,291
698,500,940,109,10,827,291
699,500,940,110,10,831,290
700,500,947,110,10,835,290
701,500,947,110,10,837,290
702,500,947,111,10,840,289
703,500,947,111,10,845,289
704,500,955,112,10,846,288
705,500,956,112,10,849,288
706,500,957,112,10,852,288
707,500,964,113,10,856,287
708,500,964,113,10,860,287
709,500,964,116,10,860,284
710,500,964,117,10,865,283
711,500,965,117,10,869,283
712,500,975,117,10,877,283
713,500,975,117,10,881,283
714,500,975,117,10,887,283
715,500,975,117,10,893,283
716,500,975,120,10,897,280
717,500,982,120,10,901,280
718,500,982,120,10,905,280
719,500,982,120,10,907,280
720,500,982,120,10,916,280
721,500,982,120,10,923,280
722,500,992,121,10,928,279
723,500,992,121,10,932,279
724,500,992,121,10,933,279
725,500,992,123,10,934,277
726,500,1001,123,10,939,277
727,500,1001,124,10,944,276
728,500,1001,125,10,946,275
729,500,1001,125,10,952,275
730,500,1001,126,10,955,274
731,500,1004,126,10,959,274
732,500,1008,126,10,962,274
733,500,1008,127,10,964,273
734,500,1015,127,10,967,273
735,500,1015,127,10,971,273
736,500,1015,128,10,975,272
737,500,1024,128,10,982,272
738,500,1024,129,10,988,271
739,500,1024,129,10,991,271
740,500,1025,129,10,994,271
741,500,1027,130,10,998,270
742,500,1028,131,10,999,269
743,500,1030,131,10,1000,269
744,500,1032,132,10,1001,268
745,500,1032,134,10,1004,266
746,500,1035,134,10,1008,266
747,500,1043,134,10,1011,266
748,500,1043,135,10,1018,265
749,500,1043,138,10,1022,262
750,500,1043,140,10,1026,260
751,500,1043,140,10,1033,260
752,500,1043,140,10,1037,260
753,500,1043,140,10,1042,260
754,500,1045,141,10,1045,259
755,500,1045,142,10,1053,258
756,500,1053,142,10,1059,258
757,500,1053,143,10,1065,257
758,500,1053,144,10,1072,256
759,500,1053,146,10,1075,254
760,500,1053,147,10,1079,253
761,500,1058,149,10,1079,251
762,500,1063,151,10,1082,249
763,500,1066,153,10,1085,247
764,500,1076,153,10,1087,247
765,500,1076,154,10,1092,246
766,500,1076,154,10,1095,246
767,500,1076,154,10,1098,246
768,500,1076,154,10,1103,246
769,500,1076,154,10,1107,246
770,500,1079,155,10,1111,245
771,500,1088,155,10,1112,245
772,500,1088,156,10,1117,244
773,500,1088,157,10,1122,243
774,500,1088,159,10,1124,241
775,500,1093,160,10,1129,240
776,500,1093,161,10,1130,239
777,500,1093,162,10,1131,238
778,500,1100,162,10,1135,238
779,500,1108,162,10,1143,238
780,500,1108,163,10,1149,237
781,500,1108,163,10,1155,237
782,500,1108,163,10,1157,237
783,500,1108,164,10,1162,236
784,500,1116,165,10,1167,235
785,500,1116,165,10,1177,235
786,500,1123,165,10,1186,235
787,500,1123,167,10,1189,233
788,500,1130,169,10,1197,231
789,500,1130,169,10,1201,231
790,500,1136,170,10,1205,230
791,500,1136,170,10,1211,230
792,500,1138,171,10,1212,229
793,500,1147,171,10,1217,229
794,500,1147,171,10,1222,229
795,500,1151,173,10,1227,227
796,500,1156,173,10,1232,227
797,500,1156,174,10,1237,226
798,500,1165,176,10,1243,224
799,500,1165,179,10,1246,221
800,500,1165,179,10,1250,221
801,500,1165,179,10,1255,221
802,500,1165,179,10,1262,221
803,500,1166,179,10,1268,221
804,500,1169,179,10,1272,221
805,500,1171,179,10,1276,221
806,500,1176,181,10,1276,219
807,500,1185,183,10,1277,217
808,500,1185,183,10,1280,217
809,500,1185,184,10,1283,216
810,500,1185,184,10,1289,216
811,500,1185,186,10,1291,214
812,500,1188,186,10,1292,214
813,500,1191,186,10,1300,214
814,500,1191,186,10,1308,214
815,500,1191,188,10,1308,212
816,500,1191,188,10,1314,212
817,500,1199,188,10,1321,212
818,500,1199,189,10,1329,211
819,500,1199,189,10,1334,211
820,500,1199,189,10,1337,211
821,500,1203,189,10,1345,211
822,500,1204,190,10,1346,210
823,500,1211,190,10,1350,210
824,500,1211,190,10,1352,210
825,500,1211,191,10,1356,209
826,500,1216,193,10,1358,207
827,500,1216,194,10,1363,206
828,500,1219,194,10,1365,206
829,500,1223,196,10,1364,204
830,500,1224,196,10,1367,204
831,500,1232,196,10,1374,204
832,500,1232,198,10,1377,202
833,500,1232,200,10,1376,200
834,500,1237,200,10,1380,200
835,500,1237,201,10,1384,199
836,500,1247,203,10,1383,197
837,500,1247,205,10,1386,195
838,500,1247,205,10,1391,195
839,500,1247,206,10,1393,194
840,500,1255,206,10,1397,194
841,500,1255,208,10,1396,192
842,500,1255,208,10,1400,192
843,500,1255,208,10,1403,192
844,500,1255,208,10,1406,192
845,500,1262,208,10,1409,192
846,500,1262,209,10,1414,191
847,500,1262,210,10,1419,190
848,500,1262,210,10,1426,190
849,500,1266,210,10,1432,190
850,500,1273,211,10,1436,189
851,500,1277,213,10,1440,187
852,500,1277,213,10,1445,187
853,500,1283,213,10,1446,187
854,500,1283,215,10,1451,185
855,500,1283,215,10,1453,185
856,500,1288,216,10,1455,184
857,500,1297,216,10,1459,184
858,500,1297,216,10,1464,184
859,500,1297,216,10,1471,184
860,500,1297,217,10,1475,183
861,500,1297,218,10,1478,182
862,500,1306,219,10,1480,181
863,500,1306,220,10,1484,180
864,500,1306,221,10,1484,179
865,500,1307,221,10,1487,179
866,500,1315,222,10,1493,178
867,500,1315,222,10,1498,178
868,500,1321,223,10,1505,177
869,500,1321,224,10,1513,176
870,500,1324,224,10,1515,176
871,500,1330,224,10,1522,176
872,500,1330,225,10,1528,175
873,500,1330,225,10,1534,175
874,500,1334,225,10,1537,175
875,500,1338,226,10,1540,174
876,500,1345,226,10,1545,174
877,500,1345,227,10,1548,173
878,500,1345,228,10,1551,172
879,500,1352,229,10,1554,171
880,500,1352,229,10,1560,171
881,500,1355,229,10,1565,171
882,500,1355,230,10,1571,170
883,500,1365,231,10,1574,169
884,500,1365,232,10,1580,168
885,500,1365,233,10,1585,167
886,500,1375,233,10,1589,167
887,500,1375,233,10,1599,167
888,500,1375,233,10,1602,167
889,500,1375,234,10,1604,166
890,500,1379,234,10,1607,166
891,500,1379,234,10,1611,166
892,500,1383,234,10,1617,166
893,500,1388,234,10,1624,166
894,500,1388,234,10,1632,166
895,500,1388,234,10,1636,166
896,500,1394,234,10,1641,166
897,500,1404,234,10,1645,166
898,500,1404,235,10,1647,165
899,500,1404,235,10,1650,165
900,500,1404,236,10,1652,164
901,500,1408,237,10,1657,163
902,500,1411,237,10,1659,163
903,500,1415,237,10,1667,163
904,500,1415,237,10,1672,163
905,500,1415,238,10,1677,162
906,500,1418,238,10,1683,162
907,500,1418,238,10,1689,162
908,500,1418,239,10,1693,161
909,500,1423,239,10,1700,161
910,500,1423,239,10,1702,161
911,500,1423,239,10,1705,161
912,500,1424,240,10,1706,160
913,500,1430,240,10,1713,160
914,500,1430,242,10,1714,158
915,500,1430,242,10,1721,158
916,500,1430,244,10,1724,156
917,500,1430,244,10,1729,156
918,500,1439,244,10,1736,156
919,500,1439,246,10,1739,154
920,500,1439,246,10,1743,154
921,500,1439,246,10,1751,154
922,500,1439,247,10,1757,153
923,500,1439,247,10,1762,153
924,500,1443,247,10,1768,153
925,500,1444,248,10,1775,152
926,500,1451,251,10,1777,149
927,500,1459,252,10,1780,148
928,500,1459,253,10,1785,147
929,500,1459,253,10,1789,147
930,500,1459,254,10,1794,146
931,500,1461,255,10,1800,145
932,500,1462,255,10,1807,145
933,500,1467,255,10,1814,145
934,500,1475,255,10,1825,145
935,500,1481,256,10,1831,144
936,500,1481,256,10,1837,144
937,500,1483,256,10,1848,144
938,500,1490,258,10,1856,142
939,500,1490,259,10,1860,141
940,500,1491,261,10,1863,139
941,500,1496,261,10,1868,139
942,500,1496,261,10,1870,139
943,500,1496,261,10,1876,139
944,500,1505,263,10,1880,137
945,500,1505,263,10,1886,137
946,500,1505,263,10,1892,137
947,500,1505,266,10,1900,134
948,500,1506,266,10,1905,134
949,500,1513,266,10,1912,134
950,500,1513,266,10,1921,134
951,500,1513,266,10,1928,134
952,500,1515,266,10,1937,134
953,500,1518,266,10,1941,134
954,500,1518,266,10,1947,134
955,500,1522,267,10,1950,133
956,500,1522,267,10,1956,133
957,500,1529,267,10,1964,133
958,500,1532,267,10,1973,133
