tick,scfa,lps_microbiota,permeability,cellEpit,lps_lumen,tnfAlfa,alfasin,nadh,alfasinucleina,ros,electron,oxygen
155,40,2,326.34592796970384,100,298,301,1,500,10,0,0,700
156,40,0,326.34592796970384,100,300,301,1,500,10,0,0,700
157,40,0,326.34592796970384,100,300,301,1,500,10,0,0,700
158,40,0,326.34592796970384,100,300,301,1,500,10,0,0,700
159,40,0,326.34592796970384,100,300,301,1,500,10,0,0,700
160,40,0,326.34592796970384,100,300,300,1,500,10,0,0,700
161,40,0,326.34592796970384,100,300,300,1,500,11,0,0,700
162,40,0,326.34592796970384,100,300,300,1,500,13,0,0,700
163,40,0,326.34592796970384,100,300,299,2,500,13,0,0,700
164,40,0,326.34592796970384,100,300,300,3,500,14,0,0,700
165,40,0,326.34592796970384,100,300,301,1,500,18,0,0,700
166,40,0,326.34592796970384,100,300,301,1,500,21,0,0,700
167,40,0,326.34592796970384,100,300,299,1,500,22,0,0,700
168,40,0,326.34592796970384,100,300,301,1,500,25,0,0,700
169,40,0,326.34592796970384,100,300,300,1,500,27,0,0,700
170,40,0,326.34592796970384,100,300,300,1,500,28,0,0,700
171,40,0,326.34592796970384,100,300,300,3,500,28,0,0,700
172,40,0,326.34592796970384,100,300,300,3,500,30,0,0,700
173,40,0,326.34592796970384,100,300,301,4,500,31,0,0,700
174,40,0,326.34592796970384,100,300,300,2,500,35,0,0,700
175,40,0,326.34592796970384,100,300,300,2,500,38,0,0,700
176,40,0,326.34592796970384,100,300,300,2,500,40,0,0,700
177,40,0,326.34592796970384,100,300,300,2,500,41,0,0,700
178,40,0,326.34592796970384,100,300,300,1,500,42,0,0,700
179,40,0,326.34592796970384,100,300,300,1,500,44,0,0,700
180,40,0,326.34592796970384,100,300,300,1,500,46,0,0,700
181,40,0,326.34592796970384,100,300,300,1,500,48,0,0,700
182,40,0,326.34592796970384,100,300,300,1,500,49,0,0,700
183,40,0,326.34592796970384,100,300,300,1,500,51,0,0,700
184,40,0,326.34592796970384,100,300,300,1,500,54,0,1,700
185,40,0,326.34592796970384,100,300,299,2,500,54,0,2,700
186,40,0,326.34592796970384,100,300,300,2,500,57,1,2,699
187,40,0,326.34592796970384,100,300,300,2,500,57,1,2,699
188,40,0,326.34592796970384,100,300,301,3,500,59,2,1,698
189,40,0,326.34592796970384,100,300,301,4,500,61,2,1,698
190,40,0,326.34592796970384,100,300,302,6,500,62,2,1,698
191,40,0,326.34592796970384,100,300,301,6,500,65,2,1,698
192,40,0,326.34592796970384,100,300,299,4,500,70,2,1,698
193,40,0,326.34592796970384,100,300,302,5,500,72,2,1,698
194,40,0,326.34592796970384,100,300,301,8,500,72,2,1,698
195,40,0,326.34592796970384,100,300,302,11,500,72,2,1,698
196,40,0,326.34592796970384,100,300,301,12,500,74,2,1,698
197,40,0,326.34592796970384,100,300,301,10,500,79,2,1,698
198,40,0,326.34592796970384,100,300,302,11,500,81,2,1,698
199,40,0,326.34592796970384,100,300,302,14,500,81,2,1,698
200,40,0,326.34592796970384,100,300,301,15,500,83,2,1,698
201,40,0,326.34592796970384,100,300,300,16,500,85,2,2,698
202,40,0,326.34592796970384,100,300,300,13,500,89,2,3,698
203,40,0,326.34592796970384,100,300,299,14,500,90,3,3,697
204,40,0,326.34592796970384,100,300,300,12,500,95,3,4,697
205,40,0,326.34592796970384,100,300,302,13,500,96,3,5,697
206,40,0,326.34592796970384,100,300,301,14,500,98,3,5,697
207,40,0,326.34592796970384,100,300,301,15,500,99,3,7,697
208,40,0,326.34592796970384,100,300,300,11,500,104,3,8,697
209,40,0,326.34592796970384,100,300,301,11,500,108,3,8,697
210,40,0,326.34592796970384,100,300,302,13,500,108,3,8,697
211,40,0,326.34592796970384,100,300,302,10,500,113,3,8,697
212,40,0,326.34592796970384,100,300,302,12,500,114,4,8,696
213,40,0,326.34592796970384,100,300,301,12,500,117,4,8,696
214,40,0,326.34592796970384,100,300,301,12,500,119,4,8,696
215,40,0,326.34592796970384,100,300,301,10,500,125,4,8,696
216,40,0,326.34592796970384,100,300,302,10,500,127,4,9,696
217,40,0,326.34592796970384,100,300,302,12,500,129,4,9,696
218,40,0,326.34592796970384,100,300,303,14,500,130,4,11,696
219,40,0,326.34592796970384,100,300,302,13,500,134,4,11,696
220,40,0,326.34592796970384,100,300,302,14,500,135,4,11,696
221,40,0,326.34592796970384,100,300,303,15,500,137,4,12,696
222,40,0,326.34592796970384,100,300,303,17,500,138,4,14,696
223,40,0,326.34592796970384,100,300,302,15,500,142,4,14,696
224,40,0,326.34592796970384,100,300,301,15,500,144,4,14,696
225,40,0,326.34592796970384,100,300,303,12,500,150,4,14,696
226,40,0,326.34592796970384,100,300,303,15,500,149,4,14,696
227,40,0,326.34592796970384,100,300,303,14,500,152,4,15,696
228,40,0,326.34592796970384,100,300,302,16,500,153,4,17,696
229,40,0,326.34592796970384,100,300,302,18,500,154,4,17,696
230,40,0,326.34592796970384,100,300,303,17,500,158,4,17,696
231,40,0,326.34592796970384,100,300,301,14,500,163,4,17,696
232,40,0,326.34592796970384,100,300,302,15,500,165,5,18,695
233,40,0,326.34592796970384,100,300,302,13,500,169,5,18,695
234,40,0,326.34592796970384,100,300,303,13,500,172,5,18,695
235,40,0,326.34592796970384,100,300,303,12,500,176,6,19,694
236,40,0,326.34592796970384,100,300,302,13,500,178,6,20,694
237,40,0,326.34592796970384,100,300,301,13,500,181,6,20,694
238,40,0,326.34592796970384,100,300,303,12,500,184,6,22,694
239,40,0,326.34592796970384,100,300,303,15,500,184,6,23,694
240,40,0,326.34592796970384,100,300,303,13,500,189,6,23,694
241,40,0,326.34592796970384,100,300,302,15,500,190,6,23,694
242,40,0,326.34592796970384,100,300,302,14,500,194,6,27,694
243,40,0,326.34592796970384,100,300,303,16,500,194,6,29,694
244,40,0,326.34592796970384,100,300,302,17,500,196,6,32,694
245,40,0,326.34592796970384,100,300,302,15,500,201,6,32,694
246,40,0,326.34592796970384,100,300,303,18,500,201,6,32,694
247,40,0,326.34592796970384,100,300,301,21,500,201,6,33,694
248,40,0,326.34592796970384,100,300,301,22,500,203,6,35,694
249,40,0,326.34592796970384,100,300,302,20,500,207,6,36,694
250,40,0,326.34592796970384,100,300,302,17,500,212,6,37,694
251,40,0,326.34592796970384,100,300,302,17,500,215,6,38,694
252,40,0,326.34592796970384,100,300,301,20,500,215,7,39,693
253,40,0,326.34592796970384,100,300,301,20,500,218,7,39,693
254,40,0,326.34592796970384,100,300,302,20,500,221,8,39,692
255,40,0,326.34592796970384,100,300,299,19,500,224,9,39,691
256,40,0,326.34592796970384,100,300,303,18,500,228,9,40,691
257,40,0,326.34592796970384,100,300,300,17,500,232,9,40,691
258,40,0,326.34592796970384,100,300,301,18,500,234,9,41,691
259,40,0,326.34592796970384,100,300,301,16,500,239,10,41,690
260,40,0,326.34592796970384,100,300,302,17,500,239,10,42,690
261,40,0,326.34592796970384,100,300,303,18,500,241,11,44,689
